"claim","verdict","summary","source","link"
"An image shows Travis Kelce responding to Elon Musk X post that followed Taylor Swift’s endorsement of Vice President Kamala Harris.","false","A post shared by Taylor Swift (@taylorswift) Entrepreneur Elon Musk, who supports former President Donald Trump in the presidential race, responded to Swift’s endorsement on his X platform. A Threads post shared an image that it said shows Kelce responding to a Musk X post. Like Kelce, Swift has not publicly responded to Musk’s X post.","Threads posts","https://www.politifact.com/factchecks/2024/sep/13/threads-posts/no-taylor-swifts-boyfriend-travis-kelce-didnt-say/"
"Former President Donald Trump admitted during the Sept. 10 presidential debate that he “blew up the Nord Stream pipeline.”","pants-fire","An Instagram video said Trump admitted during the Sept. 10 presidential debate that he ""blew up the Nord Stream pipeline."" Alex Pfeiffer, a Trump campaign team member, also referred PolitiFact to a 2019 Atlantic Council article about Trump imposing sanctions that halted the completion of the Nord Stream 2 pipeline. The Instagram video then cut to Trump at the debate saying, ""He said ‘Russia was afraid of him.’ I ended the Nord Stream 2 pipeline.""","Instagram posts","https://www.politifact.com/factchecks/2024/sep/13/instagram-posts/did-donald-trump-take-credit-for-blowing-up-the-no/"
"Patron, Don Julio and Pink Whitney tequila recalled because they contained fecal matter.","false","A Facebook post’s claim that Patron, Don Julio and Pink Whitney tequila products were recalled due to containing fecal matter lacks evidence. We checked the websites and social media accounts for Patron, Don Julio and Pink Whitney and found nothing about a product recall. We found multiple social media posts making the same claim on Facebook, Threads, TikTok and X.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/13/facebook-posts/theres-no-evidence-that-popular-tequila-brands-wer/"
"Mike Rogers supported “laws that could eliminate IVF and birth control.”","half-true","Slotkin said Rogers supported ""laws that could eliminate IVF and birth control."" IVF could still be legal under personhood laws, but experts said the procedure would likely be more expensive and have lower success rates, and providers could exit the industry because of liability risk. All that said, the bills Rogers supported would not have banned either IVF or birth control.","Elissa Slotkin","https://www.politifact.com/factchecks/2024/sep/13/elissa-slotkin/claim-that-ivf-and-birth-control-could-go-away-und/"
"""Debate moderators made the false claim to Donald Trump that there is nowhere in the United States where abortion is legal up until birth.""","false","An Instagram post claiming a moderator falsely told Trump ""that there is nowhere in the United States where abortion is legal up until birth"" misstates what Davis said. But ABC’s fact-check of Trump on abortion was not about state restrictions on gestational age. ""Last night during the ABC debate, two of the participants, otherwise known as the moderators of the debate, made the false claim to Donald Trump that there is nowhere in the United States where abortion is legal up until birth,"" a man said in a Sept. 11 Instagram video.","Instagram posts","https://www.politifact.com/factchecks/2024/sep/13/instagram-posts/abc-moderators-fact-check-of-trump-was-about-postb/"
"ABC News fired presidential debate moderators David Muir and Linsey Davis.","pants-fire","The Facebook post links to an article that said ABC News released a statement Sept. 11 that the network fired Muir and Davis for fact-checking Trump and asking Vice President Kamala Harris’ questions. We rate the claim that ABC News fired debate moderators Muir and Davis Pants on Fire! We searched Google and the Nexis news database and found no reports about ABC News firing Muir and Davis.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/13/facebook-posts/no-abc-news-did-not-fire-presidential-debate-moder/"
"Florida’s six-week abortion law has “no real exceptions. Not for her health. Not even for rape.”","barely-true","Florida’s abortion ban does include exceptions for the pregnant woman’s health and life, and for rape and incest up to 15 weeks of pregnancy. Yes on 4’s TV ad said Florida’s six-week abortion law has ""no real exceptions. ""Assessing how many people who qualify for abortion care under the exceptions are actually able to do so is difficult and the limited health exception leaves out conditions that threaten the health of a pregnant person, but do not pose a risk of substantial and irreversible physical impairment of a major bodily function,"" Felix said.","Yes on 4","https://www.politifact.com/factchecks/2024/sep/13/yes-on-4/does-florida-abortion-law-have-no-real-rape-health/"
"Imagen muestra carnet del Partido Comunista de la vicepresidenta Kamala Harris.","pants-fire","Pero, el Detector que pertenece a la división de noticias de Univision, reportó que la campaña Harris-Walz le dijo que la publicación en redes sociales de un supuesto carnet es falsa. La imagen de un carnet del Partido Comunista con la imagen de Harris fue creada en una página web y no es auténtica. La publicación en Facebook también dice que el carnet fue otorgado personalmente por el segundo secretario del Liga de la Juventud Comunista Leninista de toda la Unión (VLKSM, por sus siglas en ruso) a Harris en 1984.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/13/facebook-posts/kamala-harris-no-tiene-un-carnet-del-partido-comun/"
"Proposed Nevada constitutional amendment to protect abortion rights would put “essentially no limit on access to abortion.”","false","Brown said Nevada’s proposed constitutional amendment would place ""essentially no limit on access to abortion."" Brown said the ballot measure would put ""essentially no limit on access to abortion."" The constitutional amendment would also be harder to repeal than the existing Nevada law, Orentlicher said.","Sam Brown","https://www.politifact.com/factchecks/2024/sep/13/sam-brown/sam-browns-mistaken-claim-that-a-proposed-nevada-a/"
"Tim Sheehy “would let politicians like him ban abortion, with no exceptions for rape or to save a woman’s life, and criminalize women.”","barely-true","Sheehy has said he supports abortion ban exceptions for rape or to save a pregnant woman’s life. The Tester campaign’s ad says Sheehy ""would let politicians like him ban abortion, with no exceptions for rape or to save a woman’s life, and criminalize women."" Sheehy would let politicians like him ban abortion, with no exceptions for rape or to save a woman’s life, and criminalize women.","Jon Tester","https://www.politifact.com/factchecks/2024/sep/12/jon-tester/in-key-montana-senate-race-jon-tester-misleads-on/"
"“Elon Musk is going to expose Bill Gates soon, says ‘he’s evil.’”","false","""Elon Musk is going to expose Bill Gates soon, says ‘he’s evil,’"" read text in a Sept. 8 Threads post that showed images of Musk and Gates. ""Elon Musk’s shocking claim: Bill Gates is ‘evil’— prepare for the ultimate exposé!,"" the post said. SpaceXMania, which claims to ""bring you the freshest fake news,"" posted a story on its site Nov. 8 with this headline: ""Breaking: Elon Musk exposes Bill Gates on X, says ‘he’s evil.’"" The story was labeled ""satire"" and we found no evidence on Musk’s X account or elsewhere online that he called Gates ""evil.""","Viral image","https://www.politifact.com/factchecks/2024/sep/12/viral-image/speak-no-evil-claims-elon-musk-said-he-was-going-t/"
"“Gordon Ramsay calls Tim Walz a ‘woke creep,’ throws him out of Hell’s Kitchen.”","false","""Gordon Ramsay calls Tim Walz a ‘woke creep,’ throws him out of Hell’s Kitchen,"" a Sept. 6 Facebook post said, referring to a Ramsay restaurant with seven locations across the country, including Washington, D.C. A Facebook page that posts satirical content shared the claim Sept. 4 on its account with one major caveat: it was clearly ""rated satire,"" whereas the Sept. 6 Facebook post included no such label. This post was flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/12/facebook-posts/gordon-ramsay-didnt-kick-minnesota-gov-tim-walz-ou/"
"""ÚLTIMA HORA Río Nilo se pinta de rojo sangre"".","false","Portavoces del Servicio Nacional de Turismo de Chile y de Paricota Tours, una agencia privada de turismo en Chile, confirmaron a PolitiFact que la imagen de la publicación en Facebook mostraba la Laguna Roja. En la página del gobierno chileno Chile.travel, encontramos una imagen de la creadora de contenido Victoria Ansaldo con la misma ropa que en la imagen compartida en la publicación en Facebook. Al hacer una búsqueda de imagen inversa de la publicación en Facebook, encontramos diversas páginas sobre la Laguna Roja en Chile.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/12/facebook-posts/esta-foto-muestra-la-laguna-roja-en-chile-no-el-ri/"
"Photo shows Elton John wearing a “MAGA” jacket.","false","""Just found out Elton John has publicly supported Trump,"" a Sept. 7 Threads post sharing the image said. And that goes all the way up to the Supreme Court,"" John said. ""I just thought, ‘Good on you, Donald,’"" John said in the video.","Viral image","https://www.politifact.com/factchecks/2024/sep/12/viral-image/crocodile-crock-this-isnt-a-real-image-of-elton-jo/"
"The Minnesota Vikings have denounced Tim Walz: “We don’t suppᴏrt his values.”","pants-fire","We rate the claim that Minnesota Vikings denounced Walz Pants on Fire! A viral Facebook post claimed the NFL’s Minnesota Vikings distanced itself from home state Gov. ""The Minnesota Vikings have denoᴜnced Tim Walz: ""We don’t sᴜpport his values,"" a Sept. 11 Facebook post, featuring a photo of Walz, said.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/12/facebook-posts/touchdown-false-the-minnesota-vikings-didnt-denoun/"
"Immigrants get $2,000 each time they cross the border illegally.","false","The federal government does not give migrants $2,000 every time they cross the border illegally, despite claims made by Joe Rogan on his podcast. We rate the claim that immigrants get $2,000 each time they cross the border illegally False. People who cross the border illegally a second time can also be fined and imprisoned for up to two years.","Instagram posts","https://www.politifact.com/factchecks/2024/sep/12/instagram-posts/no-the-federal-government-is-not-paying-immigrants/"
"Video shows tornadoes in Canada.","false","We rate claims this video shows tornadoes in Canada False. ""Tornado storm in Canada,"" the text over the video says. That video was shared as a mirror image of the one seen in the Canada claim.","Viral image","https://www.politifact.com/factchecks/2024/sep/12/viral-image/a-video-purporting-to-show-tornadoes-in-canada-twi/"
"Video shows a Ku Klux Klan member at a rally for former President Donald Trump.","false","We rate claims that this video shows a KKK member attending a Trump rally False. A Sept. 8 Instagram post sharing the video said: ""This video was taken yesterday. In 2023, he shared a video labeled ""satire"" on the channel that showed him attending another Trump rally with the sign.","Instagram posts","https://www.politifact.com/factchecks/2024/sep/12/instagram-posts/a-self-described-troll-attended-a-trump-rally-in-a/"
"Elon Musk said, “Anyone caught promoting propaganda will be suspended from X.”","false","We rate claims Musk threatened to suspend accounts promoting propaganda False. The X post doesn’t appear on Musk’s account, and searching more broadly for the statement we found no credible news coverage that mentioned it or public statements from Musk expressing such a sentiment. A purported screenshot of such an X post from Musk has nevertheless been spreading on social media, including in a Sept. 7 Threads post.","Viral image","https://www.politifact.com/factchecks/2024/sep/12/viral-image/no-elon-musk-didnt-threaten-to-suspend-x-users-pro/"
"A Haitian woman was arrested in Springfield, Ohio, for eating a cat.","pants-fire","We rate the claim that a Haitian woman was arrested in Springfield, Ohio, for eating a cat Pants on Fire! Alexis Ferrell of Canton, Ohio, was arrested Aug. 26 on animal cruelty and disorderly conduct charges after Canton police said she tortured, killed and ate a cat in front of people in Canton. Now some social media users are sharing police footage of a woman being arrested for animal cruelty as proof that Trump was right and the fact-checkers are wrong.","Instagram posts","https://www.politifact.com/factchecks/2024/sep/12/instagram-posts/arrest-of-a-canton-ohio-woman-unrelated-to-baseles/"
"Kamala Harris “descubierta usando unos zarcillos con audífonos inhalambricos, para que le soplaran las respuestas durante el debate contra Donald Trump”.","pants-fire","(AP) La declaración también se hizo viral en X en inglés, donde una nota comunitaria dijo que los pendientes de Harris eran de Tiffany & Co. La nota citó el blog fundado por Susan E. Kelley, ""What Kamala Wore"", que dice que Harris usa un par de pendientes de perlas de los mares del Sur de la colección Tiffany HardWear ""con cierta frecuencia"". El blog de Kelley incluye la primera aparición de Harris el 6 de agosto con el gobernador de Minnesota Tim Walz como su compañero de fórmula en Filadelfia, como una de las ocasiones en las que Harris usó esos aretes. La candidata presidencial demócrata, la vicepresidenta Kamala Harris, y su compañero de fórmula, el gobernador de Minnesota, Tim Walz, hablan en un mitin de campaña en Filadelfia, el 6 de agosto de 2024.","X posts","https://www.politifact.com/factchecks/2024/sep/12/tweets/no-kamala-harris-no-uso-pendientes-con-audifonos-e/"
"“Elon Musk to fund new anti-woke show featuring Tucker Carlson.”","false","The SpaceX Fanclub post included in the comments a link to a blog post claiming the new show will be called ""Truth Unleashed."" ""Elon Musk to fund new anti-woke show featuring Tucker Carlson: ‘We need more journalists like Tucker Carlson and less like Rachel Maddow,’"" the Sept. 6 post said. The Facebook post sharing the Carlson claim does not say that it’s satire.","Viral image","https://www.politifact.com/factchecks/2024/sep/12/viral-image/no-elon-musk-didnt-announce-a-new-anti-woke-show-w/"
"Video shows Tim Walz “falsely claims that being gay in Nebraska is ‘illegal’""","false","The post included a clip in which Walz said, ""Think about this, when I was a kid growing up in Nebraska being gay was illegal, still technically illegal."" His full statement: ""Think about this, when I was a kid growing up in Nebraska, being gay was illegal, still technically illegal. We rate the claim that Walz ""falsely claims that being gay in Nebraska is ‘illegal’"" False.","Instagram posts","https://www.politifact.com/factchecks/2024/sep/11/instagram-posts/no-walz-didnt-claim-its-illegal-to-be-gay-in-nebra/"
"Vice President Kamala Harris wore NOVA H1 audio earrings in the Sept. 10, 2024, presidential debate.","pants-fire","We rate the claim that Harris was wearing the NOVA H1 earphone earrings during the presidential debate Pants on Fire! The NOVA H1 earrings and the earrings Harris wore during the debate may look similar because of a pearl in both designs, but upon closer inspection, they have important differences. Kelley said on her blog that Harris wore the same earrings during the presidential debate.","Social Media","https://www.politifact.com/factchecks/2024/sep/11/social-media/no-kamala-harris-was-not-wearing-audio-earrings-du/"
"“As of today, there is not one member of the United States military who is in active duty in a combat zone, in any war zone around the world, for the first time this century.”","barely-true","There are thousands of U.S. military service members stationed in areas that are considered combat zones. But the combat zones do include areas in which U.S. service members are now deployed, she said. PolitiFact asked the Defense Department for a list of places within the designated combat zones that U.S. military service members are serving in, but we did not receive a response before publication.","Kamala Harris","https://www.politifact.com/factchecks/2024/sep/11/kamala-harris/why-harris-debate-remarks-about-us-military-in-com/"
"""Dallas County Texas (tells) election workers to (illegally) lie on registration & use a church address to register homeless people to vote!”","pants-fire","It said state law is clear that you don’t need a home to vote, and that voters can use an address other than their residential address as a mailing address. An X post said that Dallas County election workers were telling trainees to illegally lie on voter applications and use a church address to register voters. ""State law is very clear: having a home is not a requirement to be eligible to register to vote, and voters can use an address other than their residential address as a mailing address.""","X posts","https://www.politifact.com/factchecks/2024/sep/11/tweets/texas-election-law-allows-homeless-voters-to-regis/"
"CNN reported that the Apalachee High School shooting suspect was motivated by a “lack of trans acceptance.”","false","The CNN article did not use this wording and by the time this Instagram post was made, CNN had clarified what the Discord account said about transgender people. CNN also reported in that article that the Discord account ""expressed frustration with the acceptance of transgender people,"" according to a Sept. 5 archive of the CNN article page. A Sept. 7 Instagram post shared a screenshot of an X post that claimed the suspect was driven by a ""lack of trans acceptance,"" citing CNN’s reporting.","Instagram posts","https://www.politifact.com/factchecks/2024/sep/11/instagram-posts/posts-misconstrue-cnn-report-on-suspects-motive-in/"
"Image shows “Michelle Obama’s necklace from DNC speech” said “Mike.”","pants-fire","The image in the post is not from the 2024 convention, where she wore navy and had her hair up. ""Michelle Obama’s necklace from DNC speech goes instantly viral,"" read the text that appeared over an image of Obama shared in a Sept. 2 Instagram post. The image in this post was altered.","Viral image","https://www.politifact.com/factchecks/2024/sep/11/viral-image/michelle-obama-wore-a-vote-necklace-at-the-2020-dn/"
"""In Springfield (Ohio), they're eating the dogs, the people that came in, they're eating the cats. They're eating, they're eating the pets of the people that live there.”","pants-fire","Springfield Mayor Rob Rue at a Sept. 10 city commission meeting reiterated that there were no credible or specific claims about Haitian immigrants stealing and eating pets. Trump said that in Springfield, Ohio, Haitian immigrants are ""eating the pets of the people that live there."" A city spokesperson and Springfield police said they have received no credible reports that pets are being abducted and eaten by the immigrants.","Donald Trump","https://www.politifact.com/factchecks/2024/sep/11/donald-trump/trump-repeats-baseless-claims-that-haitian-immigra/"
"Haitian immigrants are eating pets and wildlife in Springfield, Ohio.","false","Social media posts claim that pets and wildlife in Springfield, Ohio, are being eaten by Haitian immigrants. A Springfield spokesperson said the city has received no such reports, and Springfield police told a local news outlet the department has received no reports of pets being stolen and eaten. But are the social media claims true about the immigrants eating their neighbors’ pets and dining on local waterfowl?","Social Media","https://www.politifact.com/factchecks/2024/sep/09/social-media/authorities-rebut-claims-that-haitian-immigrants-a/"
"The Hells Angels Motorcycle Club is on the way to Aurora, Colorado, to confront a Venezuelan gang.","false","But the Aurora Police Department and the Hells Angels Motorcycle Club rebutted these rumors. On Threads, a video posted Sept. 2 showed four lines of bikers taking up two lanes, claiming it showed Hells Angels and two other motorcycle clubs — the Outlaws and the Mongols — headed  ""to confront the Venezuelan Gangs for taking over the apartment complex to protect the citizens of Aurora Colorado."" But the Hells Angels Motorcycle Club rebutted these rumors.","Social Media","https://www.politifact.com/factchecks/2024/sep/09/social-media/hells-angels-are-not-heading-to-aurora-colorado-to/"
"Donald Trump “took away protections against discrimination for LGBTQ patients under the Affordable Care Act.”","mostly-true","Under the Trump administration, the Department of Health and Human Services finalized a rule that removed several LGBTQ+ discrimination protections that the Obama administration had instituted. The Trump administration rolled back numerous Obama-era protections against LGBTQ+ discrimination in health care and insurance coverage under the Affordable Care Act. Although regulations the Trump administration issued undid Obama-era LGBTQ+ discrimination protections in the ACA, a tangled legal landscape means the ability to enforce these anti-discrimination provisions isn’t clear.","Kamala Harris","https://www.politifact.com/factchecks/2024/sep/09/kamala-harris/mostly-true-trump-admin-reversed-lgbtq-protections/"
"“Sen. Jacky Rosen voted to increase taxes on families making less than $75,000 a year.”","barely-true","A One Nation ad said Rosen ""voted to increase taxes on families making less than $75,000 a year."" Republican-backed groups making claims similar to the One Nation ad have relied on a 2022 Joint Committee on Taxation Inflation Reduction Act analysis that showed an increased tax burden in every bracket. One Nation has released three other ads since June, all saying Rosen voted to increase taxes on families making less than $75,000.","One Nation","https://www.politifact.com/factchecks/2024/sep/09/one-nation/conservative-group-misleads-on-jacky-rosens-inflat/"
"""La nueva ley de condonación elimina $15,000 de la deuda de tarjetas de crédito para todos los estadounidenses"".","false","""La nueva ley de condonación elimina $15,000 de la deuda de tarjetas de crédito para todos los estadounidenses"", dice una publicación en Facebook del 3 de septiembre. La Oficina para la Protección Financiera del Consumidor (CFPB, por sus siglas en inglés), recomienda a los consumidores a contratar a un asesor de crédito sin fines de lucro y negociar directamente con la compañía de tarjetas de crédito, antes de contratar a una compañía de alivio de deudas. No existe una ""nueva ley de condonación"" de deudas de tarjetas de crédito, calificamos la publicación como Falsa.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/09/facebook-posts/no-hay-una-nueva-ley-de-condonacion-que-elimina-de/"
"“Un grupo de 32 venezolanos armados tomaron esta noche un edificio de apartamentos en Chicago”.","false","La publicación contiene un audio en el que un operador de la policía detalla el informe de una persona que llama. Calificamos la declaración de que un grupo de 32 venezolanos armados tomaron un edificio de apartamentos en Chicago como Falsa. El departamento dijo que alguien hizo una llamada de servicio sobre venezolanos armados que estaban entrando ilegalmente a la propiedad, pero que el incidente reportado en la llamada ""no fue de buena fe"" o ""no fue real"".","X posts","https://www.politifact.com/factchecks/2024/sep/09/tweets/no-un-grupo-de-32-migrantes-venezolanos-armados-no/"
"Vice President Kamala Harris “cast the tiebreaking votes that caused the worst inflation in American history, costing a typical American family $28,000.”","barely-true","Trump said Harris ""cast the tiebreaking votes that caused the worst inflation in American history, costing a typical American family $28,000."" However, most economists also agree that the American Rescue Plan exacerbated inflation but was not the sole cause. During a Sept. 7 rally in Mosinee, Wisconsin, Trump said that as vice president, Kamala Harris — his Democratic opponent — ""cast the tiebreaking votes that caused the worst inflation in American history, costing a typical American family $28,000.""","Donald Trump","https://www.politifact.com/factchecks/2024/sep/08/donald-trump/fact-checking-donald-trump-on-the-scale-and-causes/"
"Elissa Slotkin “gave your hard-earned tax money to illegal immigrants.”","false","The bill required a person to have a Social Security number to receive the checks, and most immigrants in the country illegally do not have Social Security numbers. In most cases, people in the country illegally lack Social Security numbers, Lacarte said. The eligibility criteria required people to have Social Security numbers to receive the payments, and the vast majority of people in the country illegally do not have Social Security numbers.","National Republican Senatorial Committee","https://www.politifact.com/factchecks/2024/sep/06/national-republican-senatorial-committee/senate-republicans-ad-claiming-elissa-slotkin-gave/"
"Video shows Democratic vice presidential candidate Tim Walz dancing to Beyoncé in a cowboy hat and crop top.","false","A Sept. 5 Instagram video showed a man who resembled the Democratic vice presidential candidate and Minnesota governor dancing in a red cowboy hat and black leather crop top and pants. ""Is it 2024 Democratic Party vice presidential candidate Tim Walz,"" text on the video read. We rate the claim that a video shows Walz dancing to Beyoncé in a cowboy hat and crop top False.","Instagram posts","https://www.politifact.com/factchecks/2024/sep/06/instagram-posts/no-this-video-doesnt-show-tim-walz-dancing-to-beyo/"
"A group of 32 armed Venezuelans took over an apartment building in Chicago.","false","The Chicago Police Department did not confirm to PolitiFact whether the specific phone call embedded in the post was real. The Libs of TikTok account reshared the audio posted by the X account Windy City Weather and News, which posts weather information and reports from a Chicago police scanner. Libs of TikTok also shared the post on Instagram.","X posts","https://www.politifact.com/factchecks/2024/sep/06/tweets/reports-about-32-venezuelan-armed-migrants-taking/"
"""Kamala Harris aboga por censurar X en Estados Unidos al estilo de Brasil si es elegida presidenta en noviembre”.","false","Twitter suspendió la cuenta de Trump el 8 de enero de 2021, después de que usara la plataforma para alentar a sus seguidores a protestar por los resultados de las elecciones de 2020 el 6 de enero de 2021. La misma regla tiene que aplicarse, que es que tiene que haber una responsabilidad que recaiga sobre estos sitios de redes sociales para que comprendan su poder. La misma regla tiene que aplicarse, que es que tiene que haber una responsabilidad que recaiga sobre estos sitios de redes sociales para que comprendan su poder.","Instagram posts","https://www.politifact.com/factchecks/2024/sep/06/instagram-posts/no-kamala-harris-no-dijo-que-censurara-x-si-es-ele/"
"Project 2025 would defund K-12 schools.","half-true","Eliminating the Department of Education would phase out some, if not all, federal funding for public K-12 schools and return that responsibility to the states. For this fact-check, we wanted to know how Project 2025 would affect federal funding for public schools. In an emailed statement, Project 2025 told PolitiFact the fact that school budgets rely on federal money for only a small share of their funding means cutting the department ""hardly defunds schools.""","Kamala Harris","https://www.politifact.com/factchecks/2024/sep/06/kamala-harris/project-2025-would-phase-out-federal-funds-for-pub/"
"“The entire family of Kamala Harris’ running mate, Tim Walz—they are all supporting Donald Trump.”","false","Of course, anyone who watched the Democratic National Convention would know that Walz’s entire family doesn’t support Trump. ""Tim Walz’s family back in Nebraska wants you to know something … "" he said, sharing the image. Neither did Charles Herbster, a former Nebraska governor candidate who first posted the photo on X.  Herbster, however, didn’t claim Walz’s entire family supported Trump.","Viral image","https://www.politifact.com/factchecks/2024/sep/06/viral-image/no-tim-walzs-entire-family-isnt-supporting-the-tru/"
"“Mark Robinson skips Board of Education vote on teacher bonuses to hold campaign event.”","barely-true","""Mark Robinson skips Board of Education vote on teacher bonuses to hold campaign event,"" the headline of the press release said. The Stein campaign said Robinson ""skips Board of Education vote on teacher bonuses to hold campaign event."" And Robinson has attended just over half of State Board of Education meetings, according to data collected by WRAL.","Josh Stein","https://www.politifact.com/factchecks/2024/sep/06/josh-stein/checking-josh-steins-claim-about-mark-robinson-ski/"
"An image shows the social media profile of the accused suspect in the Apalachee High School shooting.","false","We rate claims the image in this post shows the shooting suspect’s X profile False. What appears to be a screenshot of an X profile shows a person wearing what looks like a Harris hat and a shirt that says ""trans"" with a bio that says: ""Kamala 2024 end all MAGAts"" and a gun emoji. A Sept. 5 Google search showed that before the shooting even happened, the profile said: ""to any lawyers, journos, cops & the CIA: this content is all fake and made up.""","Viral image","https://www.politifact.com/factchecks/2024/sep/05/viral-image/an-x-account-purporting-to-belong-to-the-apalachee/"
"McDonald’s “said they have no record whatsoever of Kamala Harris ever working at any of their locations.”","false","Harris has mentioned her job at McDonald’s on the campaign trail and in other public appearances. The earliest instance PolitiFact could find of Harris talking about her McDonald’s job is from 2019, when Harris marched with striking McDonald’s workers in Las Vegas. Since launching her 2024 presidential campaign in July, Harris has highlighted her summer job at McDonald’s in campaign ads and on her personal and campaign X accounts.","Social Media","https://www.politifact.com/factchecks/2024/sep/05/social-media/no-mcdonalds-didnt-say-theres-no-record-kamala-har/"
"“BREAKING: Apalachee High School shooter has been identified as non-binary trans girl Samantha Hyde.”","pants-fire","Authorities identified the suspect in the Apalachee High School shooting as 14-year-old Colt Gray, a student at the Winder, Georgia, school. We rate the claim that the Apalachee High School shooter was identified as ""Samantha Hyde"" Pants on Fire! That Jackson County sheriff’s office report, which identified Gray as male, said nothing about Gray being nonbinary or transgender.","X posts","https://www.politifact.com/factchecks/2024/sep/05/tweets/samantha-hyde-was-not-the-apalachee-high-school-sh/"
"“Kamala Harris said she will shut down X if elected.”","false","The same rule has to apply, which is that there has to be a responsibility that is placed on these social media sites to understand their power. The same rule has to apply, which is that there has to be a responsibility that is placed on these social media sites to understand their power. An Instagram user shared a video Sept. 3 of Harris speaking with the caption, ""Kamala Harris says she will shut down X if elected.""","Instagram posts","https://www.politifact.com/factchecks/2024/sep/05/instagram-posts/no-kamala-harris-did-not-say-she-will-shut-down-x/"
"“In less than 48 hours the United States government is shutting down for good.”","pants-fire","More than two days after an Instagram post claimed the U.S. government was shuttering forever, American bureaucracy endured. #WWG1WGA,"" said the caption of a Sept. 2 Instagram post that shared the screenshot, using a hashtag common in the QAnon conspiracy movement. Forty-eight hours after that dire premonition, the U.S. government continued functioning.","Viral image","https://www.politifact.com/factchecks/2024/sep/05/viral-image/governments-gears-still-grind-purported-permanent/"
"Photo shows a child “saved” by Deputy Ryan Braidley in Elko County, Nevada.","false","We rate claims this photo shows a child found in Elko County, Nevada, by Deputy Ryan Braidley False. The Elko County Sheriff’s Office confirmed to PolitiFact that no Ryan Braidley works there. ""Deputy"" isn’t typically a title at police departments such as Elko’s, but no Ryan Braidley works there, either.","Facebook posts","https://www.politifact.com/factchecks/2024/sep/05/facebook-posts/viral-post-about-a-lost-child-in-elko-county-nevad/"
"“The transgender thing is incredible... your kid goes to school and comes home a few days later with an operation. The school decides what’s going to happen with your child.""","pants-fire","Trump’s campaign cited school policies that do not require teachers to notify parents if a student is transgender, but these policies do not mean a child can be given medical care or surgical care without parental consent. We asked National Association of School Nurses President Kate King what kind of medical care school nurses may give. Schools do not provide medical care without parental consent, let alone surgery.","Donald Trump","https://www.politifact.com/factchecks/2024/sep/05/donald-trump/trumps-pants-on-fire-claim-that-schools-are-perfor/"
"El expresidente Donald Trump “tiene la intención de promulgar lo que, en efecto, es un impuesto nacional sobre las ventas…que elevaría los precios para las familias de clase media a casi $4,000 al año”.","half-true","El Instituto Urbano-Centro de Política Fiscal de la Institución Brookings, un grupo de expertos con sede en Washington D.C., calculó que los aranceles del 10% y el 60% reducirían colectivamente los ingresos medios después de impuestos de los hogares estadounidenses en unos $1,800. Durante su discurso de aceptación el 22 de agosto en la Convención Nacional Demócrata en Chicago, Harris también dijo que Trump ""tiene la intención de promulgar lo que, en efecto, es un impuesto nacional sobre las ventas — llámelo impuesto Trump — que elevaría los precios de las familias de clase media en casi $4,000 al año"". Aunque los aranceles se recaudan por separado de los impuestos, la mayoría de los economistas dicen que gran parte de su impacto se traslada a los consumidores.","Kamala Harris","https://www.politifact.com/factchecks/2024/sep/05/kamala-harris/los-aranceles-propuestos-por-donald-trump-costaria/"
"On June 7, 2011, Kamala Harris was involved in a San Francisco hit-and-run crash that injured a woman named Alicia Brown.","pants-fire","A viral video claimed that Harris was involved in a June 7, 2011, hit-and-run crash in San Francisco that injured a woman named Alicia Brown. San Francisco Police Department spokesperson Allison Maxie said the agency found no calls for service or other reports involving a hit-and-run or car crash in the vicinity of the intersection of Post and Jones streets on or around this date in 2011. In video clips shared Sept. 4 on X, a woman identified as ""Alicia Brown"" claimed Harris, the Democratic presidential nominee, drove a car that struck and injured her June 7, 2011.","X posts","https://www.politifact.com/factchecks/2024/sep/05/tweets/no-proof-kamala-harris-injured-a-person-in-2011-ca/"
"Photo shows Vice President Kamala Harris “in the 90s.”","false","Claudia Jordan, a TV and radio host and a former cast member on Bravo’s ""The Real Housewives of Atlanta,"" shared it in July 2020 on Instagram. ""Kamala didn’t look bad in the 90s though,"" a Sept. 2 Threads post said, sharing an image of three women posing for the camera. An image recently shared on social media isn’t one of them.","Threads posts","https://www.politifact.com/factchecks/2024/sep/04/threads-posts/photo-of-reality-show-stars-doesnt-feature-vice-pr/"
"“There’s been a 43% increase in violent crimes since I left office.”","barely-true","Both the FBI data and the crime victimization survey are scheduled for release later this year. From 2020 to 2022, a period that largely overlaps with the victimization survey data Trump cited, the FBI data showed violent crime falling by about 4%, rather than rising; it ended up virtually tied with 2019’s prepandemic level. The FBI has released preliminary data for 2023, showing that violent crime dropped by 5.7% from 2022 to 2023.","Donald Trump","https://www.politifact.com/factchecks/2024/sep/04/donald-trump/donald-trump-said-violent-crime-is-up-43-but-that/"
