label,statement,source,uuid
true,trade deficit goods reached nearly 800 billion last year alone,LIAR,2ad3569e-e8d5-4839-a1c1-fbd51382a048
mostly-true,half illegal immigrants come legal visas overstay,LIAR,2fac3996-d06f-4c3f-8fc9-7f8921035cc2
mostly-true,18 stadiums built 2004 2013 47 percent total cost came public sources,LIAR,fc7746ab-72d6-4c86-b73a-89a46fb5c53b
mostly-true,says 2002 hispanic votes anglo votes 60 percent state,LIAR,7b1f64b0-baad-4109-ac1e-39cf0661165c
mostly-true,says tommy thompsons tax plan amounts average tax cut almost 87000 top 1 percent,LIAR,eedd1d09-d971-49fd-a769-d2b64e510b83
half-true,trailing every state midwest terms job creation since january 2011,LIAR,dbbbd12b-d223-40c6-a2fd-7db4cdbef7a1
false,says gov rick perry never held privatesector job,LIAR,2ca70910-b2ba-481f-85fa-2d12c0eb42e0
pants-fire,obama enrolled wahabi school jakarta wahabism radical teaching followed muslim terrorists waging jihad western world,LIAR,a7e05755-18fb-42a5-86d9-21090dd5d243
mostly-true,bushera tax cuts failed increase employment workforce participation fell 2001 never returned record level set 2000,LIAR,baeb4054-e1b4-4160-8356-91e50431a638
true,obama visited countries met world leaders president first six months office,LIAR,9914eabc-f5c1-4467-9d39-c33d97174953
false,says oregon law girls 15 years age given complete control whether sterilized,LIAR,d4f2f8d4-1e4c-4979-bd7e-e442efb7e18e
half-true,says sen thad cochran voted spend hundreds millions dollars bridge nowhere alaska instead shifting money repair bridge damaged hurricane katrina,LIAR,1439f8f0-ea1d-441a-8833-adeeb42981d5
half-true,says hesecured highest possible bond rating city tampa,LIAR,501e5873-7835-4ad9-bad7-d2860f450a5b
false,800 million muslims radicalized half muslims earth thats minority thats majority,LIAR,be356042-fc06-42f3-b0d6-ceca6fc8827d
half-true,says virginia saved 300 million rebidding metrorail construction project exclude guaranteed union contracts,LIAR,b3c1f1fd-fa32-4236-a19e-740095e29e9a
half-true,generous new england new england known generosity toward welfare recipients,LIAR,d15ead9e-9a35-4389-9a8f-8e7e46dc5153
false,defense bill includes language would require military hospitals provide abortions demand,LIAR,25e021dd-d1bc-494a-8c95-0b85707f1828
half-true,north carolina near national average unemployment,LIAR,362419d8-23b7-4083-8885-c350dd5c75b9
mostly-true,mitt romney says next president doesnt need foreign policy experience,LIAR,d024cf94-3d2a-45b8-9bfe-cf099a4a3b6e
false,medicaid expansion going cost florida 19 billion year,LIAR,c5c2cb81-ce00-4283-b694-a8add27ab1c6
mostly-true,founders advised noninterventionism,LIAR,df4c923a-f2cc-4c4c-b622-18566177d565
false,fill fec reports past six years theyre much detailed tax return,LIAR,9353c04b-6f96-40b4-b155-1c5c7b8f7172
half-true,says paul workman authored legislation providing amnesty illegal immigrants,LIAR,c219d9f8-f744-4ee6-a740-82f55846391b
true,says marco rubio knows full well voted amendment increase military spending 697 billion,LIAR,b5d332ab-044a-4aac-8e67-5e0f1455ed34
barely-true,says ovide lamontagne wants eliminate kindergarten,LIAR,1a935622-f6f1-44a9-aa1a-dbed195a1415
false,gov sarah palin got precisely zero support call alaskas democratic senator mark begich resign ted stevens corruption conviction overturned,LIAR,29abb3e9-5e87-4fe4-b728-f95954c64d1a
false,says 2012 obama every state require photo id lost every state require photo id order vote,LIAR,4dc7678a-65d2-4310-a0c5-eb765adf63e4
pants-fire,recently though media reported thousands illegal voters commonwealth,LIAR,6afd4787-acdb-4493-a990-a9e35b2d13f2
false,says connie mack iv cosponsored bill take third social security trust fund give individual accounts senior citizens invest stock market,LIAR,a7d8757b-7c2e-45d1-add9-47ba01205e63
half-true,federal government may put 16500 irs agents charge policing president obamas health care bill,LIAR,c161a195-0233-478c-ba31-06ce6d2afc5b
barely-true,inspections abortion centers around virginia found multiple violations parental consent laws gov terry mcauliffe administration done nothing,LIAR,bd1c560f-29cd-4695-9cca-ef08bcaa736e
true,says barack obama promised would cut deficit half didnt,LIAR,d91f1c60-4afe-4bda-9aca-a7bb90a4d3d5
mostly-true,state us 40hour minimum wage work week enough afford twobedroom apartment,LIAR,b7c8a778-85d2-4544-b19c-c95909ad774c
mostly-true,97 percent 100 poorest counties america red states,LIAR,cd39cd48-efde-4f73-b841-3363631ab421
true,texas highest rate uninsured nation uninsured children texas state,LIAR,b1c2e22d-df5b-4da9-b3ce-b22661e5cbbe
false,fully inflating tires step every expert says would absolutely reduce oil consumption 3 4 percent,LIAR,a6e54868-65b5-4146-9847-60e05c4a207f
true,froze spending 2007 levels 2013 would balance budget 2020 would cut national debt half,LIAR,c27fad6c-7ce8-4dda-8c92-5aef3ec95ee7
barely-true,agriculture always required significant workforce abroad,LIAR,a174aa42-6df5-486f-8b6c-1dd099d951a0
barely-true,republicansponsored wisconsin mining bill take least seven years create jobs,LIAR,b2f5f571-831f-41b2-bca8-8da1e45e8f0c
half-true,nobody knows nobody talks obama millions people moved country theyve deported,LIAR,c890c70b-c74d-45d6-919c-ac7ecf58ed30
Miscaptioned,video 2001 authentically showed kamala harris attending event sean diddy combs,Snopes,be468d5e-3d69-4257-8253-2129ca152356
half-true,worked ronald reagan helped reelect,LIAR,b1eabefa-9ade-46b9-9a62-f0c4b159a920
mostly-true,nearly 90 travis county government races settled time democratic primary,LIAR,0be1ae2b-84e9-4cea-b156-cf4cc0dd6da1
half-true,3 million jobs available america filled many people dont skills jobs,LIAR,8fea9002-852f-4721-98eb-4562465b9910
pants-fire,number illegal immigrants united states 30 million could 34 million,LIAR,1dbdb132-f6d5-4baf-a896-07dc235f3c9f
mostly-true,georgia eighth populous state nation moving number 10 position four years,LIAR,158084ed-1d22-4404-8e06-e5a5450c6118
half-true,pastor mccain calls spiritual guide rod parsley believes americas founding mission destroy islam calls false religion,LIAR,41f2566c-fe32-47a5-a747-81d9c839ce8a
mostly-true,says trimet spends 103 million police contracts year 56 transit police must respond nontransit calls,LIAR,5840f18b-c206-48b4-b671-47229418e5df
true,first said would leave residual forces iraq says wouldnt,LIAR,017f861a-576a-4ad2-a55f-6a16e15a4504
barely-true,floridas sixweek abortion law real exceptions health even rape,PolitiFact,9197f44b-9f72-4dbd-912c-f6c8fa165f4e
pants-fire,federal health care reforms amounted government takeover health care,LIAR,3e76cd7d-d8ad-48e1-8240-2ee8c8d4bd07
true,gun epidemic leading cause death young africanamerican men next nine causes put together,LIAR,1cb8b6ef-7a35-45b4-b9d9-94aa71afdc3c
false,four years celebrity president 85 recent college grads moving back parents,LIAR,0d885cfa-7f5b-4edb-80e8-35a6785e3e40
barely-true,says president barack obama could basically legalize immigrants illegally sign pen,LIAR,75b066e1-8b24-4ac1-9f11-e29609da4b93
false,many call lyin ted histv ad john kasich lie stations pull air,LIAR,111932a9-b895-42c0-9cb3-f24d23d48753
false,says 300 investigations year housing discrimination recent years put 150000 damages pockets individuals treated unfairly,LIAR,3c1018ac-17d9-4136-a59f-a62d281eb03e
true,floridas cfo shut krakows scam refunded 12 million josephine victims con man,LIAR,b466d628-f99e-4111-ab93-2711ce90d72b
pants-fire,wisconsin wages declining double rate states,LIAR,5f254d4e-3da1-4688-9258-9160d80fbeba
true,says share us economy governments support research development rd fallen nearly twothirds since 1960s,LIAR,7bf09dd5-e5a8-491f-9334-95c2ee27645c
mostly-true,majority americans still oppose health care bill,LIAR,d8fb9a46-34d2-4fcf-9c13-702ac8af078b
false,proposed gogebic iron ore mine hill apostle islands national lakeshore caves along lake superior,LIAR,806de05b-dec7-414c-9550-ab9295208a05
mostly-true,says director antiabortion group receiving texas grant provide womens health services believes hiv spread sewer system,LIAR,f34d47dc-50c9-4874-94b0-d28428815c0e
mostly-true,taxcut deal adds 800 billion deficit two years cost tarp cost recovery act health care reform,LIAR,c91ee11d-7789-4f4e-b77b-c0b63c629b4a
mostly-true,europe us households waste 15 times food person africa,LIAR,20bea1b7-5f39-4ce5-8995-5753b850b7f2
mostly-true,onethird economic stimulus package tax cuts,LIAR,5e1db7d5-2f86-40d2-bf6e-648d1b0336cd
barely-true,social security advocated 1930s way getting people quit working thought confined permanent scarcity jobs country,LIAR,46f19b4f-d400-499c-9785-c6d93147b5e1
mostly-true,tax plan promoted north carolina senate candidate thom tillis overwhelmingly benefit wealthy,LIAR,e66e4db2-de6b-4076-b668-a5d0246a1435
false,says us house candidate carlos curbelo supported raising flood insurance rates,LIAR,6d2ede4a-e449-4996-97da-d62911153591
mostly-true,crime rate continues plummet,LIAR,91e759c2-7d13-41f7-b97a-7808bff6a2d3
true,john mccain wants give oil companies another 4billion tax breaks,LIAR,c4f06523-03c1-4dd9-af11-237940c992f3
barely-true,2010 dream act failed despite strong bipartisan support,LIAR,62d98709-e17e-44fa-9098-06812b0219d4
half-true,2009 usda study found 87 percent chicken carcasses tested positive generic e coli prior packaging,LIAR,1e6300ad-afa5-414c-b23b-c6615b5adddb
mostly-true,isissends 90000 social mediamessages day,LIAR,5526ede8-c7a6-42de-b171-9d70aa9ebf12
mostly-true,given expansive program already expanding medicaid new jersey due obamacare relatively small expansion,LIAR,bc5c0aff-8532-4bd2-89d2-12130c587a79
true,iranians saying saying deal understand two different things,LIAR,0c4ab8c7-1ddc-4fa0-b6b8-67f63779451f
half-true,virginia lost 65000 jobs tim kaine put partisan ambitions first serving dnc chairman last year governorship,LIAR,881ed8cf-9c91-47cb-86d3-d8713ac5a8a3
barely-true,senate immigration bill immediate legalization border security sometime future like 1986 designed never come,LIAR,240577fb-5282-4f93-8fdb-f8319ff5a3b5
barely-true,mark warner cast tiebreaking vote pass obamacare,LIAR,54f93326-ff55-4402-8af7-6d6b17256797
barely-true,sen mccains economic plan gives nearly 4billion tax breaks oil companies doesnt provide tax relief 100million middleclass families,LIAR,75b6a4bf-66ca-4ca3-a016-4e309dce5f9b
mostly-true,exception slavery chinese exclusion act laws never barred persons becoming citizens,LIAR,30d5960c-6c04-4c04-9c1c-789353f2370f
mostly-true,voucher school closed 9 days year collected 54 million taxpayer subsidies since first opening,LIAR,700047ca-ecec-4b8d-b795-b560bf9962e6
false,says president barack obama said got bin laden terrorism problem solved,LIAR,69bb035e-04e9-4dca-a3de-7f3e4df4fbe9
barely-true,says congressman jon runyan want cut taxes middle class millionaires,LIAR,5a412c47-0ea1-48c7-8bb6-e9772a3d2b41
barely-true,ninety million americans either arent working arent looking work,LIAR,ef61f257-b2e6-4da9-a37b-95ed22f61560
false,majority actually want singlepayer health care,LIAR,f1ede099-4a07-4ae9-81be-aa636b586c62
mostly-true,georgia worst job losses state history gop watch,LIAR,27bf32e5-091c-490f-a619-39c8ca77c672
false,says us senate candidate joni ernst signed pledge protects tax breaks companies ship jobs overseas,LIAR,a2760be5-9de0-4a78-b2cc-1e5360e86196
mostly-true,latest jobs numbers wisconsin ranked third midwest,LIAR,fac62b67-b88c-4859-b2c2-c9ad1575c37d
true,barack obama wont even use term war terrorism,LIAR,ca33980e-3975-4d66-8615-01e102e434e4
half-true,paul ryan got start politics young staffer college working thencongressman john kasichs budget committee,LIAR,55c75239-bde8-42b5-aed9-ead854635982
half-true,says kelly ayotte stands washington gun lobby fund campaigns,LIAR,de4b1b91-802d-45d0-bd41-ca5060123192
false,reauthorization exportimport bank,LIAR,81d59e78-7e58-4911-b5cd-917f048dcf26
true,last 50 years federal government balanced budget five times,LIAR,af3d10ee-4ba4-42ca-b3ed-77d98db7ac2a
pants-fire,bill ayers obama ran radical education foundation together,LIAR,682e400c-25b6-433b-bcb5-e07372a2a141
true,says charlie crist rode jet belongs serial polluter history environmental violations fined nearly 2 million polluting water,LIAR,2ac0bfb7-ac6a-4099-8b2d-260d31afb26a
false,obama health human services department planning compile federal health record us citizens 2014 including individuals body mass index,LIAR,5df57eb6-09d9-48f3-b769-c15eed2a5866
mostly-true,washington times pointed succeeded previous administrations failed spending cuts,LIAR,d88e3979-cbc0-49e8-8daa-532695c7e94d
true,audit shows 65 million people active social security numbers 112 years age older,LIAR,10194618-5c35-4eb1-b27a-12df0e21e6ca
mostly-true,female buffalo lead herd,LIAR,4e714c91-ce01-4057-b702-ddb9882ad74e
false,scientists questioning original idea manmade global warming causing climate change put question,LIAR,3209972d-7b16-4cc1-af27-be673b0c3ca6
half-true,among money spent health care united states 46 cents every dollar spent medicare medicaid,LIAR,7ca00dfc-ed48-4da8-a034-fe76b78149cc
true,way im raising tolls 50 percentjon corzine,LIAR,e8d8971a-49d7-43e2-aabc-1ecd6912c87a
half-true,contrary media reports georgias gas tax change led price increase pump,LIAR,04cb0cae-f0e5-4fc0-be71-0dd89ac87b71
false,benghazi victims left helpless die hillary clinton soundly slept bed,LIAR,e1f0644e-2067-48eb-9fdb-28e39fa47439
half-true,georgias high school graduation rate topped 80 percent 2010,LIAR,d4596e17-b1b5-4dce-9a77-fd8fe64e95fa
mostly-true,currently florida one five states nation prohibit citizens buying electricity companies put solar panels home business,LIAR,4cd0b56e-2b66-4958-8d93-2d9745dad6e6
false,congressman duffy long record voting va backlog fixes,LIAR,3b8a8a8d-3647-490b-991a-9a190b8e936f
false,telecom bill could keep state corporation commission getting rateofreturn information electric utilities,LIAR,267d98ad-7605-41ff-a0b9-c1db54e46f56
false,says us senate candidate tommy thompson admitted washington dc changed insider selling influence make millions powerful special interests,LIAR,67b1deae-549d-4405-b626-d6cf2f52ab39
mostly-true,almost 68000 georgia students required law attend chronically failing school,LIAR,fd6f155f-6302-4f75-8ac9-60b8abc1cff3
half-true,says paul ryan tried change whole game social security,LIAR,dddfb8a4-b370-4936-b7d3-e83e553acc4c
barely-true,president obama pledged go budget line line watch nondefense spending spiraled control increasing 67 percent last year alone,LIAR,db1680f4-5f4d-458c-8561-8a2f0899fc37
pants-fire,says ted cruz never denied father photographedwith lee harvey oswald,LIAR,9c16560f-2abe-486c-872f-8f472ff2c633
barely-true,says iraq overrun isis hillary clinton failed renegotiate status forces agreement,LIAR,4e01d7e7-6721-471c-97eb-b3f377746c2d
false,first meeting university wisconsin system officials republican governor elect scott walker told prepare cuts,LIAR,116b2dae-d7de-410f-a4ac-4ead9bcf7101
half-true,house republicans pledged introduce bill reform americas health care system party failed produce legislation,LIAR,a13871fa-2479-4632-a599-1bb98879f5c1
mostly-true,says nsa data collection every member parties served intelligence committee voted favor,LIAR,f80df8a7-470d-4e6f-9994-ec6889dd7fa1
true,1990s time prosperity created 22million new jobs moved 8million people poverty turned economy around,LIAR,431fc6af-1978-4bf5-9672-642deb1146be
mostly-true,number swat raids gone 1400 percent since 1980s,LIAR,8949bbcf-d518-4f35-9bf1-996ffd621f01
half-true,five citizens killed last week border security problems,LIAR,d3f9bd7f-3b28-4960-a116-bd6c0479f06c
pants-fire,greg abbott surrogates referred women victims rape incest though somehow confronting minor issue,LIAR,9130f6dc-b727-4b28-b102-52168ef98a46
mostly-true,says heard 2400 cases wisconsin appeals court judge,LIAR,eb492d65-526c-49c1-b0b4-5ea6c229736e
mostly-true,says georgia power customers pay 10 percent 15 percent national average electricity,LIAR,a80168b5-96f4-4ae8-a4fd-8e5ffb1ba238
barely-true,says donald trump marco rubio opposed cruzs efforts defund planned parenthood,LIAR,c8860c5a-4816-4116-9704-750f287fd347
true,anyone die toothache,LIAR,b0c5ca9e-027b-454a-96e3-570d97dc00e7
false,wisconsin state allows parents guardians purchase alcohol children regardless whether child seven 20 years old bars restaurants,LIAR,c50a7c4b-81b0-4242-8153-89fb91d31c8e
half-true,recent recordlow water levels lake michigan evidence global warming leading evaporation great lakes,LIAR,aeff23be-ce0d-40e9-a651-3e8920a99f70
pants-fire,says cnn deleted online poll showing bernie sanders first democratic presidential debate help hillary clinton,LIAR,b3a17a2e-9f4d-4d03-892b-4752dcc706b4
false,new york times writes long story donald trumps tax returns didnt point wrongdoing paragraph 18,LIAR,5db2390e-0e67-4cf5-aec4-eccd95d4aedf
true,says keene nh requested militarygrade armored personnel truck citing annual pumpkin festival possible target terrorists,LIAR,b89d96ab-6752-4d1c-8ef3-381b80aa249e
true,says milken institute rated san antonio nations topperforming local economy,LIAR,386c11fc-c798-472c-a384-443bf841bd8b
mostly-true,likens obamas predicament 1982 saying reagan started unemployment exactly point two years term unemployment well 10 percent come,LIAR,d1ff6401-132f-4759-971a-7c6a8052cfa0
mostly-true,currently almost 40 percent people hiv diagnosed already developed aids 10 years first infected hiv,LIAR,e1de6a76-5363-40c6-9192-ece948e00b59
barely-true,dont smart fifthgrader know causes climate sun sun people tell carbon dioxide warms earth doesnt sun warms earth,LIAR,72156f4d-b492-4c9a-a71f-6146fbaca44d
false,atlanta beltline paid nearly 35 million less quarteracre,LIAR,19671ee2-37b4-40f6-adcf-ce55339e1b48
half-true,jennifer carrolls outsider,LIAR,9e91a2ec-18ff-4faa-8723-e830e8365dac
false,says tom perriello voted give tax breaks foreign companies creating jobs china,LIAR,a13ffee4-a743-4cf5-afdf-1217a2ea4ec9
false,releasing photographs depicting abuse prisoners,LIAR,5c20e6bd-a19b-4c49-94ea-559882865bd3
true,says virginia biggest state major league sports team,LIAR,b3d51511-d419-4fb5-9e47-ccefae390682
false,status illegal immigrants,LIAR,e46fe43a-1ca9-415c-b5b6-c18a6893ad48
true,90 percent babies syndrome aborted,LIAR,b1e3de78-6bd4-4414-b36f-38f75347e492
barely-true,surface temperatures earth stabilized,LIAR,2547a70c-b6bc-4879-8247-51eb4be95f50
mostly-true,95 percent income gains last years gone top 1 percent,LIAR,dfb76f91-06a1-4045-999d-588356de82cc
true,moment energy companies spend 025 percent rd,LIAR,cd39fd1c-7575-4910-b09d-0a7ce6bdfbc6
true,gov kasich ohio wages increased 103 billion,LIAR,82f71d4c-0d01-4668-bc57-07ecd1d644cb
true,three 18 benchmarks gao fulfilled even among republican math failing grade,LIAR,c258b939-21f0-4552-937f-1ebae820a631
half-true,iowas republican caucus stopped mattering years ago way determines party nominee,LIAR,5dabfd2c-50cc-4b92-b281-828fe5d4617e
mostly-true,giving facts 73000 jobs created since 11 know many direct jobs auto industry 1800,LIAR,a2fea007-b40d-482c-af62-351c25544637
mostly-true,americans havent raise 15 years,LIAR,ba929ab5-4b73-4340-bb8e-8f2009ac4981
barely-true,chinese government provides people access internet,LIAR,c4b458db-80ba-47c2-afaf-1f6d84b1bbf3
true,house representatives never sued sitting president us history,LIAR,be81bc3e-f756-4058-8b42-a0da0134cda3
half-true,95 percent ohios electricity comes burning coal,LIAR,601f6c28-68cd-4df4-bd5a-99c759fde2e4
barely-true,says vice president joe biden admits american people scammed economic stimulus package,LIAR,71412d00-9b77-4d2b-82ea-7b6cdfde7725
mostly-true,john mccain george w bush want spend trillion dollars iraq next 10 years,LIAR,26448444-69bd-4e9a-8b0c-5752ca8a7918
true,mental health provisions related mass shootings got 90 votes senate,LIAR,4bf0ec08-29d8-4c37-ae0c-744c2d50cbc2
mostly-true,85 percent hotel guests pay new 5 hotelmotel fee outside georgia,LIAR,f71ddb71-1303-498b-a77b-15b6f000c4ae
half-true,enacting righttocarry act would amount expanding rights sex offenders terrorists child predators abusers carry concealed weapons across state lines,LIAR,122f94a5-5814-4905-b5f2-48f84275b179
pants-fire,two weeks ago john mccain leading proponent amnesty challenging suddenly changed,LIAR,b9b544a3-3a65-4aa0-bc91-f773e57d0f2a
mostly-true,rick perry attempted fasttrack unnecessary coalfired power plants degrade air quality would cost billions fortunately court stopped,LIAR,52ca6ab2-5243-4d01-897c-99fa476b4ba9
true,rhode island almost dead last among northeastern states length time firstdegree murderers must spend prison theyre eligible parole,LIAR,91f1cf6e-f7ca-45ae-ac33-21fa0d55291f
false,joe garcia raised utility rates families,LIAR,94869abb-e1cc-4129-8cad-1798910670d7
mostly-true,1950s 1960s minimum wage would lift poverty,LIAR,6eda4c66-3e7e-44df-912f-c70e3439ccfc
pants-fire,say oregon reps peter defazio earl blumenauer socialists openly serving us congress,LIAR,b85f60fa-6403-46bb-9bb1-055fe8a4a63c
false,form students fill get college financial aid longer form get us citizenship,LIAR,0c84f7e5-abcf-4335-8a56-4825b172c74f
Miscaptioned,screenshot authentically shows former us president donald trump wearing bandage ear september 2024 long right ear healed july assassination attempt,Snopes,6fbc1a70-3ce5-4d22-b7de-24008ed5be70
barely-true,prior 1962 everybody prayed school started bible principal textbook schools,LIAR,ed174c60-5db0-4a2a-aa66-8b2f44292c84
true,says six states 58 family planning centers close gov chris christies budget cuts,LIAR,f056dfa6-aa73-4761-a129-cc9b5993e1b0
true,every time people newport tent work city town whole different set permits get order pitch tent,LIAR,97ae40f0-13b3-420e-a696-30c469aff724
false,thirtyseven percent central falls retired police officers firefighters disability pensions municipalities 5 percent retirees collect disability pensions,LIAR,2acc2265-17a7-4d54-88ad-6c1071541588
false,photo shows child saved deputy ryan braidley elko county nevada,PolitiFact,5859b9b0-5df5-41e4-a477-cbf32d309463
half-true,gas tax holiday gimmick every economist says go pockets oil companies,LIAR,998d9ba9-981c-4fb9-9d6c-0594cd3d1440
half-true,today people retire galveston county texas retire making least 50 percent would ever get social security,LIAR,62aad819-dcbb-43f3-b831-6fc53271a401
false,im candidate governor whos rolled policies far,LIAR,571099b8-177b-49d8-9b5c-4eef8a26e563
mostly-true,vern buchanan old business caught illegally funneling 60000 campaign donations buchanan influence election,LIAR,b8b7a091-c45b-413d-81fe-fd18e59077bf
false,youre small business dont adopt health care plan senator obama mandates hes going fine,LIAR,f9c6fa1e-cd5a-411a-8668-e8a8a0a848a1
half-true,took office deficit nearly 10 percent economy today approaching 3 percent,LIAR,276b90df-cbee-4338-8b18-4b647d56f89b
mostly-true,says paul ryans budget would turn medicare voucher,LIAR,ea5ac320-2920-4247-9e32-6b4625e9e135
false,says texas education agency follows make sure undocumented immigrants paying instate tuition texas colleges applying permanent residency,LIAR,b10ca1d5-55bd-46e8-98dc-8c16f7b151b6
half-true,obama economy youth unemployment rate double unemployment rate americans,LIAR,7bbfe87a-391c-4d4a-8ad8-21490bc40fff
false,received contributions candidate race republican democrat,LIAR,c5b4dc1c-bd62-418c-a69e-fdc52d34a087
mostly-true,campaign finished last quarter reporting cash hand republican field 138 million bank 35 million jeb bush campaign,LIAR,561da3a7-73bc-42cd-9f23-8febf3ce75d9
true,says president obama fired cruise missiles peace prize winners combined,LIAR,ca0a0daf-8ce7-4b7c-9be4-7a0ab4721789
half-true,every dollar spent new obamacare system goes privatesector insurance companies,LIAR,8986788f-ed58-4e09-8f36-e63790307810
half-true,georgia substantially increase funding education going 25 billion uncollected taxes,LIAR,5aed1dfb-2715-49a8-b455-722c339593e7
false,new health care law crushes small businesses billions penalties,LIAR,b5616848-5d98-4c7c-8d13-60150a3382bf
Misattributed,former uk prime minister winston churchill said youre going hell keep going,Snopes,334f02d3-16f5-4e1b-958b-73da050cbf65
false,foster children disproportionately victims identity theft,LIAR,c336c9e5-4c3b-44bd-b108-05151a9e0fa2
false,says barack obama hypocrite criticizing president george w bushs drone attack program using aggressively president,LIAR,b1bdf9a4-1b5c-46db-9f49-a767b8cc2d1f
half-true,former clinton administration official economists agree keep extending temporary unemployment benefits youre going extend joblessness even,LIAR,103e1759-4c21-48ea-a11d-e0ba95e66998
half-true,seventyfour percent rhode islanders support national popular vote president believe one personone vote,LIAR,1eb8690c-8c2e-4742-b2c6-89f9858557ab
mostly-true,one every four students fails earn high school diploma major cities across america half kids dont graduate,LIAR,83b36cd5-9f69-4eaf-945e-d1fa252ff258
mostly-true,deficit spending exploded obama administration 53 trillion four years compared 2 trillion eight years president george w bush,LIAR,420c5949-a059-451d-a738-4f436abde63a
pants-fire,affordable coverage workplace im eligible go marketplace illegal,LIAR,86da42c7-b3fd-482c-8075-3e9f5f318098
true,currently costs penny us mint make one cent coin nickel make five cent piece,LIAR,e92c86b6-c905-4a28-85de-fec6e01c1c14
half-true,requiring photo id would keep 200000 missourians voting,LIAR,e52905d6-6fe3-44b4-8d87-dd84f3d6556e
false,whether would run us senate 2012,LIAR,c573e15f-2426-4cd9-9f28-f22f8b71c391
half-true,havent raised taxes time ive governor new jersey,LIAR,ea102f82-ffd6-4b99-b7cf-3fb9a71ec500
half-true,says donald trump long history exporting jobs overseas,LIAR,8fbce116-528a-44b4-993f-2b3a990cda20
mostly-true,bill clinton invited rev wright white house personal crises,LIAR,a24390d9-50c3-43ec-80fc-deb05890ac85
true,says 90 percent americans 74 percent national rifle association members support background checks gun purchasers,LIAR,b663b545-ba79-4440-bdba-9c9508c208f7
barely-true,millennials 75 percent workforce next 10 years,LIAR,15972a09-9fa5-4300-a191-640be5ba82fe
pants-fire,clause hidden obamacare bill law gives obama right form private army,LIAR,2295e95e-a86f-43fc-bceb-3c03d9fb0253
mostly-true,students leave high schools go community college 7075 percent pay take remedial math,LIAR,7fe0acdc-b1b7-47d3-ba4c-cece37629cc5
barely-true,past four five presidential elections people poll high beginning people end nominees,LIAR,7e4c1f5d-41f8-4903-b085-05cc685e0250
mostly-true,confederate battle flag south carolina first flown statehouse 1961it flown symbol massive resistance racial desegregation,LIAR,3cb91569-5dbe-489c-ae25-31859c994785
false,president obama never received paycheck profitmaking business entire life,LIAR,5ed66df4-2b91-4277-9c4c-1264349a23da
barely-true,polling shows unlike donald trump nominee beat hillary clinton,LIAR,5f68b1a2-0130-4b2f-ae08-630c009227c3
half-true,texas fulltime state employees per capita california illinois,LIAR,ef79cf09-5df7-46ea-8aae-18561e376901
false,says un arms treaty mandate new international gun registry,LIAR,f4874532-fe2b-4355-af26-21841a178aa1
pants-fire,health care reform bill page 16 outlaws private insurance,LIAR,13a331b8-fa48-4048-b39e-2757f48b9e90
true,ive actually conversation protesters substance,LIAR,32a93152-2ac4-4129-9a05-5bd8625d2c3e
barely-true,dnc chair debbie wasserman schultz denied unemployment went obama,LIAR,708625bd-b28b-4a7d-ab2f-af98e35d8cc9
half-true,hospitals already begun layoffs direct result republican inaction medicaid expansion,LIAR,1afc6e80-70a7-4ef8-8e55-407c00261c3c
false,half people disability either anxious back hurts,LIAR,6dbe24a9-af3f-4881-9ecf-161e38cd8e53
barely-true,state department asked secretaries state send emails hillary clintonsthe one whos done,LIAR,9c95abfe-e1ea-4b61-977e-19efdd863410
mostly-true,says panhandle highestever bed tax collections 2011,LIAR,53d35124-8f3d-4658-9264-c38a70f39fef
pants-fire,says university wisconsin football program spending almost bowl championship series payout rose bowl junket politically connected officials,LIAR,7b4484ce-a114-4896-b498-5da278a21dd6
half-true,obamacare hit americans 500 billion new taxes,LIAR,5d6f8179-6362-4ea0-891f-fbc6757164a0
half-true,says marco rubio opposes immigration reform worse rubio supports donald trump plan would deport 800000 children destroying families,LIAR,97245fdd-5b38-4c8d-9d4f-0f8fd0e733ef
half-true,charlie crist stopped layoffs 20000 school teachers global economic meltdown,LIAR,9cdf5b4a-9f8f-4220-aed3-5612b48340fa
false,says suzanne bonamici supports 500 billion cut medicare passed last year,LIAR,d0714e7d-652f-4a32-88fe-5d2c6b91a452
barely-true,says democratic recall opponent shelly moore opposes limit taxes,LIAR,6773cb26-55d1-4f09-ad95-3b1355415ab3
barely-true,war iraq major factor blowing top price oil,LIAR,b8b6848f-6f8b-445b-916f-c7b6da5167c6
half-true,florida still averages students classrooms state southeast,LIAR,cafa432b-4b9b-4e1a-8a02-4ed8ed28a38a
half-true,average grocery store roughly 75 percent processed foods contain genetically modified organisms gmos,LIAR,fc74ec97-f016-4943-8ff9-2d20728aff11
half-true,congressman perriello voted lock step nancy pelosi 90 percent time,LIAR,e3837640-098a-426a-8102-f39ac6527b47
half-true,suspending system development charges two years,LIAR,32833cf7-1f23-4922-94be-5b62e9cc63b6
half-true,says mitt romney george allen would overturn roe v wade allow states end safe legal abortion even cases rape incest womans life risk,LIAR,ce0dd8f5-11e2-4ae8-85d0-f3d89a3da2ea
false,says first word spoken moon houston,LIAR,fb3f1a08-7d19-4343-8e62-886cad5bacd1
true,says veterans disability claims backlog doubled obamas first term,LIAR,d66bfc0d-eba7-460a-bdad-43086d2b0b3a
